subskill,intent,Rscript_call,nl_prompt
correlations,Partial correlations among pre/mid/post/outcome_reg controlling age and income,"Rscript scripts/R/correlations.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score,outcome_reg --controls age,income",I want the correlations among pre/mid/post/outcome_reg after adjusting for age and income.
correlations,Partial correlations among pre/mid/post/outcome_reg controlling age and income,"Rscript scripts/R/correlations.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score,outcome_reg --controls age,income",Please compute partial rs for those scores while holding age and income constant.
correlations,Partial correlations among pre/mid/post/outcome_reg controlling age and income,"Rscript scripts/R/correlations.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score,outcome_reg --controls age,income","Correlate pre_score, mid_score, post_score, outcome_reg with age and income as controls."
correlations,Partial correlations among pre/mid/post/outcome_reg controlling age and income,"Rscript scripts/R/correlations.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score,outcome_reg --controls age,income","Give me a partial correlation table for the timepoint scores and outcome_reg (control age, income)."
correlations,Partial correlations among pre/mid/post/outcome_reg controlling age and income,"Rscript scripts/R/correlations.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score,outcome_reg --controls age,income","Need the partial correlation matrix: pre, mid, post, outcome_reg; controls age + income."
correlations,Partial correlations among pre/mid/post/outcome_reg controlling age and income,"Rscript scripts/R/correlations.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score,outcome_reg --controls age,income",Do partial correlations on pre/mid/post/outcome_reg adjusting for age and income.
correlations,Partial correlations among pre/mid/post/outcome_reg controlling age and income,"Rscript scripts/R/correlations.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score,outcome_reg --controls age,income",Compute the partial r matrix for pre/mid/post/outcome_reg with age/income covariates.
correlations,Partial correlations among pre/mid/post/outcome_reg controlling age and income,"Rscript scripts/R/correlations.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score,outcome_reg --controls age,income","Please partial out age and income, then correlate pre, mid, post, and outcome_reg."
scale,Scale reliability for f1 items with reverse scoring of f1_3_rev,"Rscript scripts/R/scale.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4 --reverse f1_3_rev --reverse-min 1 --reverse-max 5","Run a scale analysis on f1_1, f1_2, f1_3_rev, f1_4 with f1_3_rev reversed."
scale,Scale reliability for f1 items with reverse scoring of f1_3_rev,"Rscript scripts/R/scale.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4 --reverse f1_3_rev --reverse-min 1 --reverse-max 5",I need reliability for the F1 scale; reverse f1_3_rev (1-5).
scale,Scale reliability for f1 items with reverse scoring of f1_3_rev,"Rscript scripts/R/scale.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4 --reverse f1_3_rev --reverse-min 1 --reverse-max 5",Compute alpha/omega for the F1 items and reverse-score f1_3_rev.
scale,Scale reliability for f1 items with reverse scoring of f1_3_rev,"Rscript scripts/R/scale.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4 --reverse f1_3_rev --reverse-min 1 --reverse-max 5","Scale stats for f1_1..f1_4, with f1_3_rev flipped (1-5)."
scale,Scale reliability for f1 items with reverse scoring of f1_3_rev,"Rscript scripts/R/scale.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4 --reverse f1_3_rev --reverse-min 1 --reverse-max 5",Please do item analysis for the F1 block; remember f1_3_rev is reversed.
scale,Scale reliability for f1 items with reverse scoring of f1_3_rev,"Rscript scripts/R/scale.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4 --reverse f1_3_rev --reverse-min 1 --reverse-max 5","Reliability check on f1_1, f1_2, f1_3_rev, f1_4; reverse f1_3_rev."
scale,Scale reliability for f1 items with reverse scoring of f1_3_rev,"Rscript scripts/R/scale.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4 --reverse f1_3_rev --reverse-min 1 --reverse-max 5","Need the F1 scale reliability, with reverse scoring on f1_3_rev."
scale,Scale reliability for f1 items with reverse scoring of f1_3_rev,"Rscript scripts/R/scale.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4 --reverse f1_3_rev --reverse-min 1 --reverse-max 5",Run the scale module for F1 items; reverse f1_3_rev using the 1-5 range.
scale,Scale reliability for f1 items with reverse scoring of f1_3_rev,"Rscript scripts/R/scale.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4 --reverse f1_3_rev --reverse-min 1 --reverse-max 5",Item reliability for F1; f1_3_rev is the reversed key.
scale,Scale reliability for f1 items with reverse scoring of f1_3_rev,"Rscript scripts/R/scale.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4 --reverse f1_3_rev --reverse-min 1 --reverse-max 5",Compute the scale stats for F1 and reverse-code f1_3_rev (1-5).
efa,EFA on f1/f2/f3 items with 3 factors and oblimin rotation,"Rscript scripts/R/efa.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4,f2_1,f2_2,f2_3,f2_4_rev,f3_1,f3_2,f3_3,f3_4 --n-factors 3 --rotation oblimin",Run a 3-factor EFA on the f1/f2/f3 items with oblimin rotation.
efa,EFA on f1/f2/f3 items with 3 factors and oblimin rotation,"Rscript scripts/R/efa.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4,f2_1,f2_2,f2_3,f2_4_rev,f3_1,f3_2,f3_3,f3_4 --n-factors 3 --rotation oblimin",Exploratory factor analysis for all F items; set factors=3 and use oblimin.
efa,EFA on f1/f2/f3 items with 3 factors and oblimin rotation,"Rscript scripts/R/efa.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4,f2_1,f2_2,f2_3,f2_4_rev,f3_1,f3_2,f3_3,f3_4 --n-factors 3 --rotation oblimin","I want a 3-factor EFA on the f1/f2/f3 blocks, oblique rotation."
efa,EFA on f1/f2/f3 items with 3 factors and oblimin rotation,"Rscript scripts/R/efa.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4,f2_1,f2_2,f2_3,f2_4_rev,f3_1,f3_2,f3_3,f3_4 --n-factors 3 --rotation oblimin","Please do EFA on the 12 items (f1-f3), 3 factors, oblimin rotation."
efa,EFA on f1/f2/f3 items with 3 factors and oblimin rotation,"Rscript scripts/R/efa.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4,f2_1,f2_2,f2_3,f2_4_rev,f3_1,f3_2,f3_3,f3_4 --n-factors 3 --rotation oblimin","Factor analysis: f1_1..f3_4, extract 3 factors, oblimin."
efa,EFA on f1/f2/f3 items with 3 factors and oblimin rotation,"Rscript scripts/R/efa.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4,f2_1,f2_2,f2_3,f2_4_rev,f3_1,f3_2,f3_3,f3_4 --n-factors 3 --rotation oblimin","Do an EFA with 3 factors on all the f1/f2/f3 items, oblimin rotation."
efa,EFA on f1/f2/f3 items with 3 factors and oblimin rotation,"Rscript scripts/R/efa.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4,f2_1,f2_2,f2_3,f2_4_rev,f3_1,f3_2,f3_3,f3_4 --n-factors 3 --rotation oblimin","EFA request: 3 factors, oblimin, across f1/f2/f3 item set."
efa,EFA on f1/f2/f3 items with 3 factors and oblimin rotation,"Rscript scripts/R/efa.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4,f2_1,f2_2,f2_3,f2_4_rev,f3_1,f3_2,f3_3,f3_4 --n-factors 3 --rotation oblimin",Exploratory FA on the f items; 3-factor solution with oblimin.
efa,EFA on f1/f2/f3 items with 3 factors and oblimin rotation,"Rscript scripts/R/efa.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4,f2_1,f2_2,f2_3,f2_4_rev,f3_1,f3_2,f3_3,f3_4 --n-factors 3 --rotation oblimin",Please explore a 3-factor structure for f1/f2/f3 using oblimin.
efa,EFA on f1/f2/f3 items with 3 factors and oblimin rotation,"Rscript scripts/R/efa.R --csv assets/sample-data/golden_dataset.csv --vars f1_1,f1_2,f1_3_rev,f1_4,f2_1,f2_2,f2_3,f2_4_rev,f3_1,f3_2,f3_3,f3_4 --n-factors 3 --rotation oblimin","Run EFA on f1/f2/f3 items, oblimin rotation, 3 factors."
reliability,Test-retest reliability between pre_score and post_score,"Rscript scripts/R/reliability.R --csv assets/sample-data/golden_dataset.csv --analysis test_retest --vars pre_score,post_score --method spearman",Test-retest reliability between pre_score and post_score (Spearman).
reliability,Test-retest reliability between pre_score and post_score,"Rscript scripts/R/reliability.R --csv assets/sample-data/golden_dataset.csv --analysis test_retest --vars pre_score,post_score --method spearman",Please compute test-retest reliability for pre vs post scores.
reliability,Test-retest reliability between pre_score and post_score,"Rscript scripts/R/reliability.R --csv assets/sample-data/golden_dataset.csv --analysis test_retest --vars pre_score,post_score --method spearman",I want a test-retest check: pre_score with post_score.
reliability,Test-retest reliability between pre_score and post_score,"Rscript scripts/R/reliability.R --csv assets/sample-data/golden_dataset.csv --analysis test_retest --vars pre_score,post_score --method spearman",Assess stability across pre and post; use test-retest reliability.
reliability,Test-retest reliability between pre_score and post_score,"Rscript scripts/R/reliability.R --csv assets/sample-data/golden_dataset.csv --analysis test_retest --vars pre_score,post_score --method spearman",Run test-retest reliability on pre_score and post_score (rank-based).
reliability,Test-retest reliability between pre_score and post_score,"Rscript scripts/R/reliability.R --csv assets/sample-data/golden_dataset.csv --analysis test_retest --vars pre_score,post_score --method spearman",Need a test-retest metric for pre and post; Spearman is fine.
reliability,Test-retest reliability between pre_score and post_score,"Rscript scripts/R/reliability.R --csv assets/sample-data/golden_dataset.csv --analysis test_retest --vars pre_score,post_score --method spearman",Check retest reliability for pre_score vs post_score.
reliability,Test-retest reliability between pre_score and post_score,"Rscript scripts/R/reliability.R --csv assets/sample-data/golden_dataset.csv --analysis test_retest --vars pre_score,post_score --method spearman",Do the test-retest analysis on pre and post scores.
reliability,Test-retest reliability between pre_score and post_score,"Rscript scripts/R/reliability.R --csv assets/sample-data/golden_dataset.csv --analysis test_retest --vars pre_score,post_score --method spearman",Please estimate test-retest reliability for the pre/post pair.
reliability,Test-retest reliability between pre_score and post_score,"Rscript scripts/R/reliability.R --csv assets/sample-data/golden_dataset.csv --analysis test_retest --vars pre_score,post_score --method spearman","Test-retest between pre_score and post_score, Spearman method."
assumptions,Regression assumptions for outcome_reg with x1 x2 x3 mediator,"Rscript scripts/R/assumptions.R --csv assets/sample-data/golden_dataset.csv --analysis regression --dv outcome_reg --ivs x1,x2,x3,mediator","Run regression assumption checks for outcome_reg with x1, x2, x3, mediator."
assumptions,Regression assumptions for outcome_reg with x1 x2 x3 mediator,"Rscript scripts/R/assumptions.R --csv assets/sample-data/golden_dataset.csv --analysis regression --dv outcome_reg --ivs x1,x2,x3,mediator",Diagnostics for the regression on outcome_reg using x1/x2/x3/mediator.
assumptions,Regression assumptions for outcome_reg with x1 x2 x3 mediator,"Rscript scripts/R/assumptions.R --csv assets/sample-data/golden_dataset.csv --analysis regression --dv outcome_reg --ivs x1,x2,x3,mediator",Check linear model assumptions for outcome_reg ~ x1 + x2 + x3 + mediator.
assumptions,Regression assumptions for outcome_reg with x1 x2 x3 mediator,"Rscript scripts/R/assumptions.R --csv assets/sample-data/golden_dataset.csv --analysis regression --dv outcome_reg --ivs x1,x2,x3,mediator","Please assess regression assumptions for the outcome_reg model (x1,x2,x3,mediator)."
assumptions,Regression assumptions for outcome_reg with x1 x2 x3 mediator,"Rscript scripts/R/assumptions.R --csv assets/sample-data/golden_dataset.csv --analysis regression --dv outcome_reg --ivs x1,x2,x3,mediator",Run the regression diagnostics for outcome_reg with those predictors.
assumptions,Regression assumptions for outcome_reg with x1 x2 x3 mediator,"Rscript scripts/R/assumptions.R --csv assets/sample-data/golden_dataset.csv --analysis regression --dv outcome_reg --ivs x1,x2,x3,mediator",Need assumption tests for the outcome_reg regression with x1/x2/x3/mediator.
assumptions,Regression assumptions for outcome_reg with x1 x2 x3 mediator,"Rscript scripts/R/assumptions.R --csv assets/sample-data/golden_dataset.csv --analysis regression --dv outcome_reg --ivs x1,x2,x3,mediator",Check residual normality/heteroscedasticity for outcome_reg ~ x1 + x2 + x3 + mediator.
assumptions,Regression assumptions for outcome_reg with x1 x2 x3 mediator,"Rscript scripts/R/assumptions.R --csv assets/sample-data/golden_dataset.csv --analysis regression --dv outcome_reg --ivs x1,x2,x3,mediator","Regression assumption screen for outcome_reg using x1, x2, x3, mediator."
assumptions,Regression assumptions for outcome_reg with x1 x2 x3 mediator,"Rscript scripts/R/assumptions.R --csv assets/sample-data/golden_dataset.csv --analysis regression --dv outcome_reg --ivs x1,x2,x3,mediator",Please do the standard regression assumption checks on outcome_reg with x1/x2/x3/mediator.
assumptions,Regression assumptions for outcome_reg with x1 x2 x3 mediator,"Rscript scripts/R/assumptions.R --csv assets/sample-data/golden_dataset.csv --analysis regression --dv outcome_reg --ivs x1,x2,x3,mediator","Assumption check pass for the outcome_reg regression (x1,x2,x3,mediator)."
regression,Logistic regression for binary_outcome with x1 x2 x3 group2 gender,"Rscript scripts/R/regression.R --csv assets/sample-data/golden_dataset.csv --dv binary_outcome --ivs x1,x2,x3,group2,gender --family binomial","Run a logistic regression on binary_outcome with x1, x2, x3, group2, gender."
regression,Logistic regression for binary_outcome with x1 x2 x3 group2 gender,"Rscript scripts/R/regression.R --csv assets/sample-data/golden_dataset.csv --dv binary_outcome --ivs x1,x2,x3,group2,gender --family binomial",Binomial model for binary_outcome predicted by x1/x2/x3 + group2 + gender.
regression,Logistic regression for binary_outcome with x1 x2 x3 group2 gender,"Rscript scripts/R/regression.R --csv assets/sample-data/golden_dataset.csv --dv binary_outcome --ivs x1,x2,x3,group2,gender --family binomial",I need a logistic regression: binary_outcome ~ x1 + x2 + x3 + group2 + gender.
regression,Logistic regression for binary_outcome with x1 x2 x3 group2 gender,"Rscript scripts/R/regression.R --csv assets/sample-data/golden_dataset.csv --dv binary_outcome --ivs x1,x2,x3,group2,gender --family binomial","Please fit a binomial GLM for binary_outcome using x1, x2, x3, group2, gender."
regression,Logistic regression for binary_outcome with x1 x2 x3 group2 gender,"Rscript scripts/R/regression.R --csv assets/sample-data/golden_dataset.csv --dv binary_outcome --ivs x1,x2,x3,group2,gender --family binomial","Logit model with binary_outcome as DV and x1,x2,x3,group2,gender as IVs."
regression,Logistic regression for binary_outcome with x1 x2 x3 group2 gender,"Rscript scripts/R/regression.R --csv assets/sample-data/golden_dataset.csv --dv binary_outcome --ivs x1,x2,x3,group2,gender --family binomial","Fit logistic regression for binary_outcome; predictors x1, x2, x3, group2, gender."
regression,Logistic regression for binary_outcome with x1 x2 x3 group2 gender,"Rscript scripts/R/regression.R --csv assets/sample-data/golden_dataset.csv --dv binary_outcome --ivs x1,x2,x3,group2,gender --family binomial",Can you run a binomial regression on binary_outcome with x1/x2/x3 and group2 + gender?
regression,Logistic regression for binary_outcome with x1 x2 x3 group2 gender,"Rscript scripts/R/regression.R --csv assets/sample-data/golden_dataset.csv --dv binary_outcome --ivs x1,x2,x3,group2,gender --family binomial","Run the logistic model for binary_outcome using x1, x2, x3, group2, gender."
regression,Logistic regression for binary_outcome with x1 x2 x3 group2 gender,"Rscript scripts/R/regression.R --csv assets/sample-data/golden_dataset.csv --dv binary_outcome --ivs x1,x2,x3,group2,gender --family binomial","Estimate a binomial GLM: binary_outcome on x1, x2, x3, group2, gender."
regression,Logistic regression for binary_outcome with x1 x2 x3 group2 gender,"Rscript scripts/R/regression.R --csv assets/sample-data/golden_dataset.csv --dv binary_outcome --ivs x1,x2,x3,group2,gender --family binomial",Please run a logit with binary_outcome; predictors x1 x2 x3 group2 gender.
power,A priori power for one-way ANOVA with 3 groups,Rscript scripts/R/power.R --csv assets/sample-data/golden_dataset.csv --analysis anova --mode apriori --groups 3 --effect-size 0.25 --power 0.8,"A priori power for a one-way ANOVA with 3 groups, target power 0.80, f=0.25."
power,A priori power for one-way ANOVA with 3 groups,Rscript scripts/R/power.R --csv assets/sample-data/golden_dataset.csv --analysis anova --mode apriori --groups 3 --effect-size 0.25 --power 0.8,"Please compute required N for a 3-group ANOVA (f=0.25, power .80)."
power,A priori power for one-way ANOVA with 3 groups,Rscript scripts/R/power.R --csv assets/sample-data/golden_dataset.csv --analysis anova --mode apriori --groups 3 --effect-size 0.25 --power 0.8,"Power analysis: one-way ANOVA, k=3, effect f=0.25, power 0.8."
power,A priori power for one-way ANOVA with 3 groups,Rscript scripts/R/power.R --csv assets/sample-data/golden_dataset.csv --analysis anova --mode apriori --groups 3 --effect-size 0.25 --power 0.8,Run an a priori ANOVA power calc for 3 groups with f=0.25.
power,A priori power for one-way ANOVA with 3 groups,Rscript scripts/R/power.R --csv assets/sample-data/golden_dataset.csv --analysis anova --mode apriori --groups 3 --effect-size 0.25 --power 0.8,"Need the sample size for a 3-group ANOVA at 80% power, f=0.25."
power,A priori power for one-way ANOVA with 3 groups,Rscript scripts/R/power.R --csv assets/sample-data/golden_dataset.csv --analysis anova --mode apriori --groups 3 --effect-size 0.25 --power 0.8,"Compute a priori power for a 3-level ANOVA (f=0.25, power=.80)."
power,A priori power for one-way ANOVA with 3 groups,Rscript scripts/R/power.R --csv assets/sample-data/golden_dataset.csv --analysis anova --mode apriori --groups 3 --effect-size 0.25 --power 0.8,"ANOVA power planning: 3 groups, f=0.25, power 0.8."
power,A priori power for one-way ANOVA with 3 groups,Rscript scripts/R/power.R --csv assets/sample-data/golden_dataset.csv --analysis anova --mode apriori --groups 3 --effect-size 0.25 --power 0.8,"Please do the a priori power for one-way ANOVA, 3 groups, f=0.25."
power,A priori power for one-way ANOVA with 3 groups,Rscript scripts/R/power.R --csv assets/sample-data/golden_dataset.csv --analysis anova --mode apriori --groups 3 --effect-size 0.25 --power 0.8,"Power calc for ANOVA with three groups, effect size f=0.25, power .80."
power,A priori power for one-way ANOVA with 3 groups,Rscript scripts/R/power.R --csv assets/sample-data/golden_dataset.csv --analysis anova --mode apriori --groups 3 --effect-size 0.25 --power 0.8,We need a priori power for k=3 ANOVA at 0.80 power and f=0.25.
mixed-models,"Mixed model with post_score by group2 and gender, random intercept for site","Rscript scripts/R/mixed_models.R --csv assets/sample-data/golden_dataset.csv --formula ""post_score ~ group2 + gender + (1|site)""",Fit a mixed model: post_score ~ group2 + gender + (1|site).
mixed-models,"Mixed model with post_score by group2 and gender, random intercept for site","Rscript scripts/R/mixed_models.R --csv assets/sample-data/golden_dataset.csv --formula ""post_score ~ group2 + gender + (1|site)""","Please run LMM with post_score predicted by group2 and gender, random intercept for site."
mixed-models,"Mixed model with post_score by group2 and gender, random intercept for site","Rscript scripts/R/mixed_models.R --csv assets/sample-data/golden_dataset.csv --formula ""post_score ~ group2 + gender + (1|site)""",Mixed effects model: post_score ~ group2 + gender + (1|site).
mixed-models,"Mixed model with post_score by group2 and gender, random intercept for site","Rscript scripts/R/mixed_models.R --csv assets/sample-data/golden_dataset.csv --formula ""post_score ~ group2 + gender + (1|site)""","Run a linear mixed model with post_score, fixed effects group2 and gender, random intercept for site."
mixed-models,"Mixed model with post_score by group2 and gender, random intercept for site","Rscript scripts/R/mixed_models.R --csv assets/sample-data/golden_dataset.csv --formula ""post_score ~ group2 + gender + (1|site)""",Estimate mixed model: post_score on group2 + gender with (1|site).
mixed-models,"Mixed model with post_score by group2 and gender, random intercept for site","Rscript scripts/R/mixed_models.R --csv assets/sample-data/golden_dataset.csv --formula ""post_score ~ group2 + gender + (1|site)""",Please fit LMM: post_score ~ group2 + gender + (1|site).
